"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-01","2.46",,"0.00","0.0","0.0",,"56","50",,"  140","  140","8.9","16.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-02","2.68",,"0.01","0.0","0.0",,"78","50",,"  130","  140","12.1","21.0","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-03","2.46",,"0.06","0.0","0.0",,"56","50",,"   40","   90","8.9","13.0","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-04","1.12",,"0.11","0.0","0.0",,"71","53",,"   50","   80","6.9","11.0","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-05","7.16",,"1.31","0.0","0.0",,"58","51",,"   50","   50","17.0","25.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-06","4.03",,"0.00","0.0","0.0",,"74","51",,"   40","   40","13.0","19.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-07","1.34",,"0.11","0.0","0.0",,"70","52",,"  360","  150","8.9","15.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-08","4.47",,"0.00","0.0","0.0",,"71","55",,"   30","   50","10.1","17.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-09","5.59",,"0.00","0.0","0.0",,"61","53",,"   50","   50","16.1","25.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-10","1.57",,"0.04","0.0","0.0",,"73","56",,"  130","  140","10.1","21.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-11","3.13",,"0.04","0.0","0.0",,"69","56",,"  280","  300","10.1","17.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-12","8.50",,"1.32","0.0","0.0",,"59","43",,"   60","   50","18.1","31.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-13","5.59",,"0.70","0.0","0.0",,"48","42",,"   50","   50","15.0","23.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-14","2.24",,"0.30","0.0","0.0",,"52","44",,"  280","  280","8.1","13.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-15","3.80",,"0.01","0.0","0.0",,"69","44",,"  250","  300","10.1","19.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-16","2.68",,"0.12","0.0","0.0",,"73","52",,"  280","  270","13.0","19.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-17","4.92",,"0.03","0.0","0.0",,"76","60",,"  250","  230","13.0","21.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-18","2.68",,"0.00","0.0","0.0",,"75","56",,"  140","  140","8.9","16.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-19","2.91",,"0.06","0.0","0.0",,"76","60",,"  140","  150","12.1","21.9","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-20","5.37",,"0.00","0.0","0.0",,"85","66",,"  240","  210","18.1","32.0","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-21","5.82",,"0.00","0.0","0.0",,"71","56",,"  290","  300","15.0","29.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-22","4.25",,"0.00","0.0","0.0",,"74","54",,"   50","   70","13.0","17.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-23","4.03",,"0.48","0.0","0.0",,"72","55",,"  240","  230","14.1","19.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-24","7.61",,"0.00","0.0","0.0",,"73","61",,"  300","  320","18.1","32.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-25","4.03",,"0.00","0.0","0.0",,"71","55",,"  150","  150","12.1","21.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-26","4.25",,"0.20","0.0","0.0",,"86","59",,"  280","  260","12.1","19.0","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-27","3.58",,"0.00","0.0","0.0",,"80","64",,"   40","   70","13.0","17.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-28","4.25",,"0.17","0.0","0.0",,"71","62",,"   60","  150","12.1","18.1","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-29","4.70",,"0.80","0.0","0.0",,"70","56",,"   90","  110","12.1","18.1","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-30","2.01",,"0.95","0.0","0.0",,"70","57",,"  140","  160","8.9","15.0","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05-31","2.68",,"0.00","0.0","0.0",,"80","63",,"  250","  290","10.1","15.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-01","2.68",,"0.00","0.0","0.0",,"80","63",,"  150","  150","8.9","16.1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-02","3.80",,"0.86","0.0","0.0",,"81","61",,"  260","  220","12.1","25.1","    1","    1","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-03","5.37",,"0.00","0.0","0.0",,"70","58",,"  280","  270","15.0","23.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-04","3.80",,"0.00","0.0","0.0",,"70","54",,"  250","  240","12.1","23.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-05","4.47",,"0.00","0.0","0.0",,"81","64",,"  230","  240","14.1","25.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-06","4.70",,"0.04","0.0","0.0",,"83","68",,"   50","  270","12.1","21.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-07","2.24",,"0.00","0.0","0.0",,"81","66",,"   60","   20","8.1","13.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-08","6.26",,"0.00","0.0","0.0",,"81","63",,"   50","   60","16.1","25.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-09","6.49",,"0.00","0.0","0.0",,"78","60",,"   60","  130","14.1","19.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-10","6.71",,"0.62","0.0","0.0",,"70","60",,"   50","   50","15.0","19.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-11","6.26",,"0.45","0.0","0.0",,"77","63",,"  300","  280","15.0","25.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-12","4.03",,"0.00","0.0","0.0",,"74","59",,"  140","  160","12.1","19.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-13","5.82",,"0.60","0.0","0.0",,"65","55",,"   50","   50","21.9","31.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-14","6.04",,"0.00","0.0","0.0",,"73","58",,"  270","  290","17.0","25.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-15","4.47",,"0.00","0.0","0.0",,"81","60",,"  220","  220","15.0","25.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-16","5.14",,"0.04","0.0","0.0",,"80","65",,"  230","  220","15.0","23.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-17","1.34",,"0.00","0.0","0.0",,"76","69",,"   30","   40","10.1","17.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-18","1.79",,"0.79","0.0","0.0",,"73","67",,"   60","  160","10.1","14.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-19","2.91",,"0.11","0.0","0.0",,"71","66",,"   70","  140","8.1","13.0","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-20","3.13",,"0.42","0.0","0.0",,"78","65",,"  240","  230","8.1","14.1","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-21","5.14",,"0.53","0.0","0.0",,"77","65",,"  300","  290","15.0","25.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-22","5.59",,"0.00","0.0","0.0",,"79","61",,"  300","  300","15.0","23.9",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-23","4.70",,"0.00","0.0","0.0",,"83","64",,"  280","  210","12.1","19.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-24","1.79",,"0.00","0.0","0.0",,"84","67",,"  200","  230","8.1","17.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-25","2.01",,"0.86","0.0","0.0",,"84","72",,"  270","  250","8.1","12.1","    1","    1","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-26","3.13",,"0.00","0.0","0.0",,"87","72",,"  250","  220","8.9","15.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-27","2.68",,"0.00","0.0","0.0",,"89","71",,"  230","  300","10.1","19.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-28","2.46",,"0.00","0.0","0.0",,"89","73",,"  210","  220","10.1","15.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-29","4.70",,"0.08","0.0","0.0",,"91","72",,"  230","  220","14.1","21.9","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06-30","5.14",,"0.06","0.0","0.0",,"83","69",,"  330","  360","21.0","36.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-01","4.47",,"0.00","0.0","0.0",,"85","65",,"  280","   60","10.1","15.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-02","2.46",,"0.02","0.0","0.0",,"85","71",,"  270","  330","8.9","14.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-03","1.79",,"0.00","0.0","0.0",,"87","75",,"   60","   70","10.1","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-04","2.68",,"0.00","0.0","0.0",,"90","74",,"  150","  160","13.0","21.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-05","2.91",,"0.00","0.0","0.0",,"86","72",,"  140","  150","8.9","17.0","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-06","3.36",,"0.00","0.0","0.0",,"90","76",,"  220","  230","10.1","17.0",,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-07","4.92",,"0.00","0.0","0.0",,"86","72",,"   50","   50","15.0","23.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-08","2.68",,"0.04","0.0","0.0",,"78","68",,"   50","   70","8.1","11.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-09","2.68",,"0.00","0.0","0.0",,"87","69",,"  240","  250","10.1","14.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-10","2.46",,"0.00","0.0","0.0",,"88","74",,"  240","  230","12.1","18.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-11","4.47",,"0.79","0.0","0.0",,"87","73",,"  150","  130","12.1","21.0","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-12","5.14",,"0.00","0.0","0.0",,"87","72",,"  300","  300","12.1","21.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-13","3.80",,"0.00","0.0","0.0",,"85","70",,"  280","  310","10.1","19.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-14","4.92",,"0.00","0.0","0.0",,"89","76",,"  270","  260","13.0","21.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-15","2.91",,"0.00","0.0","0.0",,"85","68",,"  290","  290","8.9","15.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-16","2.91",,"0.00","0.0","0.0",,"91","72",,"  230","  230","10.1","18.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-17","3.58",,"1.82","0.0","0.0",,"93","73",,"  290","  300","14.1","27.1","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-18","4.92",,"0.51","0.0","0.0",,"79","71",,"   50","   50","15.0","19.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-19","3.58",,"0.00","0.0","0.0",,"91","71",,"  240","  230","13.0","21.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-20","4.25",,"0.00","0.0","0.0",,"95","82",,"  230","  240","13.0","21.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-21","4.47",,"0.00","0.0","0.0",,"95","80",,"  280","  240","14.1","21.0",,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-22","2.68",,"1.66","0.0","0.0",,"90","72",,"   10","  340","14.1","25.1","    1","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-23","4.03",,"0.53","0.0","0.0",,"74","67",,"  360","   10","12.1","17.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-24","2.91",,"0.02","0.0","0.0",,"83","67",,"   60","   50","12.1","15.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-25","1.79",,"0.00","0.0","0.0",,"84","70",,"   50","   50","10.1","14.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-26","1.57",,"0.00","0.0","0.0",,"88","69",,"   50","   50","8.9","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-27","2.91",,"0.00","0.0","0.0",,"85","72",,"  220","  220","12.1","19.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-28","5.37",,"0.01","0.0","0.0",,"88","71",,"  280","  290","13.0","25.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-29","4.47",,"0.00","0.0","0.0",,"90","73",,"  250","  250","12.1","17.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-30","3.36",,"0.01","0.0","0.0",,"92","78",,"  230","  220","12.1","19.0",,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07-31","2.91",,"0.36","0.0","0.0",,"87","70",,"  280","  250","14.1","21.0","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-08-01","2.24",,"0.00","0.0","0.0",,"87","70",,"   20","   30","8.9","14.1","    1",,,,,
